id,eval_case_id,source_status,candidate_type,capability,sft_v1_role,sft_v1_action,ordinary_sft_eligible,preferred_objective,manual_rewrite_required,final_decision,final_answer,final_reason,review_note,priority_bucket,visual_dependency_gap,normal_f1,control_max_f1,question,image,image_paths
lingoqa_eval_000031_hard_negative_spatial_reasoning,lingoqa_eval_000031,v0_fix_rewritten,hard_negative_spatial_reasoning,reasoning_world_knowledge,high_quality_fix_rewritten,fix,true,normal_vqa_sft,true,keep_sft_v1,No specific vehicle needs to be yielded to in the ego path.,"The current frames show the ego vehicle approaching a zebra crossing and junction area. No car, bus, or cyclist is visibly entering the ego lane with priority, but pedestrians are near the crossing, so the safe implication is to proceed slowly and keep watching the crossing.",Rewrote terse 'No' with visible road users and caution around the zebra crossing.,,-1.0,0.0,,"Are there any specific vehicles to which you should yield in this situation? If yes, why?",data/external/lingoqa/images/val/8b1eaed55ac89d3fd98ca9a00d3b29a3/0.jpg,"[""data/external/lingoqa/images/val/8b1eaed55ac89d3fd98ca9a00d3b29a3/0.jpg"", ""data/external/lingoqa/images/val/8b1eaed55ac89d3fd98ca9a00d3b29a3/1.jpg"", ""data/external/lingoqa/images/val/8b1eaed55ac89d3fd98ca9a00d3b29a3/2.jpg"", ""data/external/lingoqa/images/val/8b1eaed55ac89d3fd98ca9a00d3b29a3/3.jpg"", ""data/external/lingoqa/images/val/8b1eaed55ac89d3fd98ca9a00d3b29a3/4.jpg""]"
lingoqa_eval_000026_hard_negative_spatial_reasoning,lingoqa_eval_000026,v0_keep_rewritten,hard_negative_spatial_reasoning,reasoning_world_knowledge,spatial_reasoning_correction,keep,true,normal_vqa_sft,true,keep_sft_v1,"No, do not accelerate.","The ego vehicle is approaching a zebra crossing and a junction/roundabout area. A pedestrian is visible near the crossing, so the safe action is to keep speed low rather than accelerate.",Manual image review accepted with grounded rewrite.,,-0.5926,0.0,,"Is it possible for you to accelerate in this situation, and if so, why?",data/external/lingoqa/images/val/6cc9407bedea610b5abe5cc012d5fdff/0.jpg,"[""data/external/lingoqa/images/val/6cc9407bedea610b5abe5cc012d5fdff/0.jpg"", ""data/external/lingoqa/images/val/6cc9407bedea610b5abe5cc012d5fdff/1.jpg"", ""data/external/lingoqa/images/val/6cc9407bedea610b5abe5cc012d5fdff/2.jpg"", ""data/external/lingoqa/images/val/6cc9407bedea610b5abe5cc012d5fdff/3.jpg"", ""data/external/lingoqa/images/val/6cc9407bedea610b5abe5cc012d5fdff/4.jpg""]"
lingoqa_eval_000072_hard_negative_spatial_reasoning,lingoqa_eval_000072,v0_keep_rewritten,hard_negative_spatial_reasoning,spatial_localization,spatial_reasoning_correction,keep,true,normal_vqa_sft,true,keep_sft_v1,"No, it is not possible to accelerate.",Pedestrians are crossing directly ahead at the zebra crossing. The ego action should be to slow or stop because accelerating would reduce safety margin for crossing pedestrians.,Manual image review accepted with grounded rewrite.,,-0.56,0.0,,"Is it possible for you to accelerate in this situation, and if so, why?",data/external/lingoqa/images/val/cc0f48b73f7f13adff2113931a41805e/0.jpg,"[""data/external/lingoqa/images/val/cc0f48b73f7f13adff2113931a41805e/0.jpg"", ""data/external/lingoqa/images/val/cc0f48b73f7f13adff2113931a41805e/1.jpg"", ""data/external/lingoqa/images/val/cc0f48b73f7f13adff2113931a41805e/2.jpg"", ""data/external/lingoqa/images/val/cc0f48b73f7f13adff2113931a41805e/3.jpg"", ""data/external/lingoqa/images/val/cc0f48b73f7f13adff2113931a41805e/4.jpg""]"
lingoqa_eval_000036_hard_negative_spatial_reasoning,lingoqa_eval_000036,v0_keep_rewritten,hard_negative_spatial_reasoning,reasoning_world_knowledge,spatial_reasoning_correction,keep,true,normal_vqa_sft,true,keep_sft_v1,You can proceed because the ego traffic light is green and no pedestrian is crossing the ego path.,"The visible signal for the ego lane is green, and the crosswalk area ahead is not occupied in the ego path, so proceeding through the intersection is supported.",Manual image review accepted with grounded rewrite.,,-0.3333,0.3333,,Why can you proceed at this intersection?,data/external/lingoqa/images/val/cedf6e4dacd1abe46f36b688ac36fc34/0.jpg,"[""data/external/lingoqa/images/val/cedf6e4dacd1abe46f36b688ac36fc34/0.jpg"", ""data/external/lingoqa/images/val/cedf6e4dacd1abe46f36b688ac36fc34/1.jpg"", ""data/external/lingoqa/images/val/cedf6e4dacd1abe46f36b688ac36fc34/2.jpg"", ""data/external/lingoqa/images/val/cedf6e4dacd1abe46f36b688ac36fc34/3.jpg"", ""data/external/lingoqa/images/val/cedf6e4dacd1abe46f36b688ac36fc34/4.jpg""]"
lingoqa_eval_000032_hard_negative_spatial_reasoning,lingoqa_eval_000032,v0_fix_rewritten,hard_negative_spatial_reasoning,spatial_localization,high_quality_fix_rewritten,fix,true,normal_vqa_sft,true,keep_sft_v1,"Yes, reduce speed before the crossing.","The ego vehicle is approaching a zebra crossing and junction. A pedestrian is at or moving across the crossing area, and a cyclist is visible near the right side of the intersection, so slowing gives both road users time and reduces conflict risk.",Grounded the slowdown in pedestrian/cyclist positions around the crossing.,,-0.2784,0.1,,"Should you consider reducing your speed at this point? If yes, what are the reasons behind it?",data/external/lingoqa/images/val/065d10fc58526a238d2b4c8d9c06e763/0.jpg,"[""data/external/lingoqa/images/val/065d10fc58526a238d2b4c8d9c06e763/0.jpg"", ""data/external/lingoqa/images/val/065d10fc58526a238d2b4c8d9c06e763/1.jpg"", ""data/external/lingoqa/images/val/065d10fc58526a238d2b4c8d9c06e763/2.jpg"", ""data/external/lingoqa/images/val/065d10fc58526a238d2b4c8d9c06e763/3.jpg"", ""data/external/lingoqa/images/val/065d10fc58526a238d2b4c8d9c06e763/4.jpg""]"
lingoqa_eval_000024_language_prior_confound,lingoqa_eval_000024,v0_drop,language_prior_confound,object_recognition,exclude,drop,false,none,false,drop_sft_v1,,,Only a simple negative traffic-light presence claim is needed; it is language-prior guessable and has weak grounding value.,,-1.0,0.0,,"Are there any traffic lights present? If yes, what color are they displaying?",data/external/lingoqa/images/val/43e53c341ab5aae565705dede4de87ab/0.jpg,"[""data/external/lingoqa/images/val/43e53c341ab5aae565705dede4de87ab/0.jpg"", ""data/external/lingoqa/images/val/43e53c341ab5aae565705dede4de87ab/1.jpg"", ""data/external/lingoqa/images/val/43e53c341ab5aae565705dede4de87ab/2.jpg"", ""data/external/lingoqa/images/val/43e53c341ab5aae565705dede4de87ab/3.jpg"", ""data/external/lingoqa/images/val/43e53c341ab5aae565705dede4de87ab/4.jpg""]"
lingoqa_eval_000060_language_prior_confound,lingoqa_eval_000060,v0_drop,language_prior_confound,other,exclude,drop,false,none,false,drop_sft_v1,,,"The scene has a crossing, signal hardware, and pedestrians, while No is too terse and visually under-justified. Drop under conservative review.",,-1.0,0.0,,"Do you need to come to a stop? If so, what is the reason for it?",data/external/lingoqa/images/val/04c64714f8a1bf28da156721ed7eff32/0.jpg,"[""data/external/lingoqa/images/val/04c64714f8a1bf28da156721ed7eff32/0.jpg"", ""data/external/lingoqa/images/val/04c64714f8a1bf28da156721ed7eff32/1.jpg"", ""data/external/lingoqa/images/val/04c64714f8a1bf28da156721ed7eff32/2.jpg"", ""data/external/lingoqa/images/val/04c64714f8a1bf28da156721ed7eff32/3.jpg"", ""data/external/lingoqa/images/val/04c64714f8a1bf28da156721ed7eff32/4.jpg""]"
lingoqa_eval_000081_hard_negative_spatial_reasoning,lingoqa_eval_000081,v0_keep_rewritten,hard_negative_spatial_reasoning,reasoning_world_knowledge,spatial_reasoning_correction,keep,true,normal_vqa_sft,true,keep_sft_v1,You are stopping because the traffic light ahead is red.,The ego vehicle is approaching an intersection where the signal ahead is red. Stopping keeps the vehicle out of the junction until the signal permits movement.,Manual image review accepted with grounded rewrite.,,-0.2143,0.2857,,Why are you stopping in this situation?,data/external/lingoqa/images/val/f91e7de2b6dbd5cae22565b37cead317/0.jpg,"[""data/external/lingoqa/images/val/f91e7de2b6dbd5cae22565b37cead317/0.jpg"", ""data/external/lingoqa/images/val/f91e7de2b6dbd5cae22565b37cead317/1.jpg"", ""data/external/lingoqa/images/val/f91e7de2b6dbd5cae22565b37cead317/2.jpg"", ""data/external/lingoqa/images/val/f91e7de2b6dbd5cae22565b37cead317/3.jpg"", ""data/external/lingoqa/images/val/f91e7de2b6dbd5cae22565b37cead317/4.jpg""]"
lingoqa_eval_000011_hard_negative_spatial_reasoning,lingoqa_eval_000011,v0_keep_rewritten,hard_negative_spatial_reasoning,spatial_localization,spatial_reasoning_correction,keep,true,normal_vqa_sft,true,keep_sft_v1,Accelerate slightly and follow the car ahead across the zebra crossing.,"The lead car is moving away, the zebra crossing in the ego path is clear, and no pedestrian is about to step into the crossing, so a gentle start is visually supported.",Manual image review accepted with grounded rewrite.,,-0.1579,0.0,,"What is the current action and its justification? Answer in the form ""action, justification"".",data/external/lingoqa/images/val/2506f1593774d92c0e46c61a8b6fb61e/0.jpg,"[""data/external/lingoqa/images/val/2506f1593774d92c0e46c61a8b6fb61e/0.jpg"", ""data/external/lingoqa/images/val/2506f1593774d92c0e46c61a8b6fb61e/1.jpg"", ""data/external/lingoqa/images/val/2506f1593774d92c0e46c61a8b6fb61e/2.jpg"", ""data/external/lingoqa/images/val/2506f1593774d92c0e46c61a8b6fb61e/3.jpg"", ""data/external/lingoqa/images/val/2506f1593774d92c0e46c61a8b6fb61e/4.jpg""]"
lingoqa_eval_000066_hard_negative_spatial_reasoning,lingoqa_eval_000066,v0_fix_rewritten,hard_negative_spatial_reasoning,reasoning_world_knowledge,high_quality_fix_rewritten,fix,true,normal_vqa_sft,true,keep_sft_v1,It is only safe to move forward slowly and cautiously.,"The ego vehicle is near a zebra crossing. Pedestrians are visible around the crossing in later frames, so the car should move only after confirming they are not entering the ego lane; the safety concern is pedestrian priority at the crossing.",Changed 'safe' to cautious movement tied to pedestrian position.,,-0.1429,0.0,,Is it safe for you to move forward? Why or why not?,data/external/lingoqa/images/val/8b1eaed55ac89d3fd98ca9a00d3b29a3/0.jpg,"[""data/external/lingoqa/images/val/8b1eaed55ac89d3fd98ca9a00d3b29a3/0.jpg"", ""data/external/lingoqa/images/val/8b1eaed55ac89d3fd98ca9a00d3b29a3/1.jpg"", ""data/external/lingoqa/images/val/8b1eaed55ac89d3fd98ca9a00d3b29a3/2.jpg"", ""data/external/lingoqa/images/val/8b1eaed55ac89d3fd98ca9a00d3b29a3/3.jpg"", ""data/external/lingoqa/images/val/8b1eaed55ac89d3fd98ca9a00d3b29a3/4.jpg""]"
