id,candidate_type,priority_score,capability,visual_dependency_gap,normal_f1,control_max_f1,question,gold_answer,normal_prediction,human_action,human_note
lingoqa_eval_000031_hard_negative_spatial_reasoning,hard_negative_spatial_reasoning,7.0,reasoning_world_knowledge,-1.0,0.0,1.0,"Are there any specific vehicles to which you should yield in this situation? If yes, why?",No.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""yes, there are buses approaching the intersection."",   ""reason"": ""There are multiple buses visible in the image, indicating that they are approaching the intersection."" } ```",fix,"No specific yield vehicle is visible, but the gold answer is too short. Rewrite as: no vehicle needs yielding; still watch pedestrians near the zebra crossing."
lingoqa_eval_000026_hard_negative_spatial_reasoning,hard_negative_spatial_reasoning,6.1852,reasoning_world_knowledge,-0.5926,0.0,0.5926,"Is it possible for you to accelerate in this situation, and if so, why?",It is not possible to accelerate as there is a roundabout after the pedestrian crossing.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""yes"",   ""reason"": ""the car is stationary with no visible obstacles ahead."" } ```",keep,"Frames show the ego vehicle approaching a zebra crossing and junction or roundabout area, so not accelerating is visually supported."
lingoqa_eval_000072_hard_negative_spatial_reasoning,hard_negative_spatial_reasoning,6.12,spatial_localization,-0.56,0.0,0.56,"Is it possible for you to accelerate in this situation, and if so, why?",It is not possible to accelerate as there are pedestrians crossing the road.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""yes"",   ""reason"": ""the car is driving on a street with no other vehicles in front."" } ```",keep,Pedestrians are crossing in front across multiple frames. The gold answer is reliable for spatial driving correction.
lingoqa_eval_000036_hard_negative_spatial_reasoning,hard_negative_spatial_reasoning,5.6667,reasoning_world_knowledge,-0.3333,0.3333,0.6667,Why can you proceed at this intersection?,The traffic light is green and no pedestrian is crossing.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""green light"",   ""reason"": ""the traffic light is green"" } ```",keep,The ego traffic light is green and no pedestrian is crossing the ego path. Good intersection proceeding sample.
lingoqa_eval_000032_hard_negative_spatial_reasoning,hard_negative_spatial_reasoning,5.5568,spatial_localization,-0.2784,0.1,0.3784,"Should you consider reducing your speed at this point? If yes, what are the reasons behind it?","Yes, to allow plenty of time for the cyclist to pass and the pedestrian to finishing crossing the street.","```json {   ""task"": ""external_vqa"",   ""answer"": ""yes"",   ""reason"": ""the road appears to be wide and there are no visible obstacles ahead, but the presence of cyclists and pedestrians suggests that reducing speed could help avoid accidents."" } ```",fix,"Direction is correct, but wording is awkward. Rewrite to mention slowing for the pedestrian crossing and the cyclist near the junction."
lingoqa_eval_000024_language_prior_confound,language_prior_confound,5.5,object_recognition,-1.0,0.0,1.0,"Are there any traffic lights present? If yes, what color are they displaying?",No.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""yes, yellow"",   ""reason"": ""There are traffic lights visible in the image, with one displaying a yellow signal."" } ```",drop,Only a simple negative traffic-light presence claim is needed; it is language-prior guessable and has weak grounding value.
lingoqa_eval_000060_language_prior_confound,language_prior_confound,5.5,other,-1.0,0.0,1.0,"Do you need to come to a stop? If so, what is the reason for it?",No.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""yes"",   ""reason"": ""the car is approaching a pedestrian crossing"" } ```",drop,"The scene has a crossing, signal hardware, and pedestrians, while No is too terse and visually under-justified. Drop under conservative review."
lingoqa_eval_000081_hard_negative_spatial_reasoning,hard_negative_spatial_reasoning,5.4286,reasoning_world_knowledge,-0.2143,0.2857,0.5,Why are you stopping in this situation?,Light has turned red.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""I am stopping because there is a red light ahead."",   ""reason"": ""The traffic light is red, indicating that vehicles need to stop."" } ```",keep,"The junction signal is red or red-amber in the relevant frames, supporting the stopping reason."
lingoqa_eval_000011_hard_negative_spatial_reasoning,hard_negative_spatial_reasoning,5.3158,spatial_localization,-0.1579,0.0,0.1579,"What is the current action and its justification? Answer in the form ""action, justification"".","The car accelerates slightly, follows the car ahead and crosses the zebra crossing, as no pedestrian is about to cross and the car ahead pulls away.","```json {   ""task"": ""external_vqa"",   ""answer"": ""stop"",   ""reason"": ""the car is stopped at a traffic light"" } ```",keep,The lead car pulls away and no pedestrian is entering the ego lane at the zebra crossing. The action rationale is visually supported.
lingoqa_eval_000066_hard_negative_spatial_reasoning,hard_negative_spatial_reasoning,5.2858,reasoning_world_knowledge,-0.1429,0.0,0.1429,Is it safe for you to move forward? Why or why not?,"Yes with caution, pedestrians may not be crossing at the zebra crossing.","```json {   ""task"": ""external_vqa"",   ""answer"": ""safe to move forward"",   ""reason"": ""the street is clear with no visible obstacles or pedestrians crossing"" } ```",fix,There are pedestrians near the crossing in later frames. Rewrite as: move only slowly and cautiously after confirming pedestrians are not entering the ego lane.
