id,capability,question,image,num_images,gold_answer,normal_answer,text_only_answer,wrong_image_answer,blank_image_answer,normal_f1,text_only_f1,wrong_image_f1,blank_image_f1,control_max_f1,visual_dependency_gap,primary_error_type,secondary_flags,recommendation,category,subcategory,source,reviewer_note
lingoqa_eval_000001,counting,How many cyclists are there?,data/external/lingoqa/images/val/2506f1593774d92c0e46c61a8b6fb61e/0.jpg,5,Zero.,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,counting_failure;possible_metric_artifact,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,counting,lingoqa,
lingoqa_eval_000002,object_recognition,"Are there any traffic lights on your lane? If yes, what are their color?",data/external/lingoqa/images/val/94dee4a9b5603e9cbac8c2444d6cda6e/0.jpg,5,"Yes, green.",yes,no,yes,no,0.6667,0.0,0.6667,0.0,0.6667,0.0,wrong_image_confound,wrong_image_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,object_recognition,lingoqa,
lingoqa_eval_000003,other,Can you spot any pedestrians crossing the road?,data/external/lingoqa/images/val/01dbcf4b079b49b6ca34c0475492380c/0.jpg,5,No.,no,no pedestrians crossing the road,yes,no,1.0,0.3333,0.0,1.0,1.0,0.0,blank_image_confound,,Strengthen prompt against hallucinated visual evidence and inspect answer ambiguity.,LingoQA,other,lingoqa,
lingoqa_eval_000004,reasoning_world_knowledge,Why are you stopping in this situation?,data/external/lingoqa/images/val/ab4845470b41f0e123da50c996c35745/0.jpg,5,"The light is red, on top of that several pedestrians are crossing the road.",I am stopping because there is a person skateboarding in front of me.,the driver is stopping due to a risk of collision with the front car,I am stopping because I need to wait for the traffic light to change.,I am stopping because I need to check something.,0.1481,0.2857,0.1429,0.0,0.2857,-0.1376,language_prior_or_question_bias,reasoning_failure;text_only_beats_or_ties_normal,Add visual-evidence requirement and verify if the question can be answered from priors.,LingoQA,reasoning_world_knowledge,lingoqa,
lingoqa_eval_000005,spatial_localization,"What is the current action and its justification? Answer in the form ""action, justification"".",data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/0.jpg,5,"The car starts, because the traffic lights turn green.",the traffic light is green,stop,driving,stop,0.4286,0.0,0.0,0.0,0.0,0.4286,visual_helped,,Keep as positive grounding evidence; inspect visual evidence wording.,LingoQA,spatial_localization,lingoqa,
lingoqa_eval_000006,weather_road_condition,"Considering the scenario, what should be your appropriate speed and steering behavior?",data/external/lingoqa/images/val/e2e859bb03ca10ec89d45bd16c3879ce/0.jpg,5,"The lane is clear so we can drive at the speed limit. However, we should be driving with caution because it is raining. Steering behaviour should continue straight.",slow down and steer towards the right side of the road,slow down and steer carefully,slow down and steer towards the right side of the road,slow down and steer carefully,0.1026,0.0,0.1026,0.0,0.1026,0.0,all_settings_failed,,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,weather_road_condition,lingoqa,
lingoqa_eval_000007,counting,How many pedestrians are crossing the road?,data/external/lingoqa/images/val/788192e7d185b1f0071c0a096f17ff19/0.jpg,5,"5 pedestrians crossing the road, 2 right in front of the car, 2 further away, and one to the right.",12,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,counting_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,counting,lingoqa,
lingoqa_eval_000008,object_recognition,What color are the traffic lights showing?,data/external/lingoqa/images/val/0f54dedab4ab997e8cdf97c570146292/0.jpg,5,Green.,red,red,red,red,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,object_recognition_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,object_recognition,lingoqa,
lingoqa_eval_000009,other,Is there any traffic in your lane preventing you from moving forward?,data/external/lingoqa/images/val/9192c58d9644f2254f27d76948d46e0c/0.jpg,5,No.,no,no,no,no,1.0,1.0,1.0,1.0,1.0,0.0,language_prior_or_question_bias,wrong_image_beats_or_ties_normal;text_only_beats_or_ties_normal,Add visual-evidence requirement and verify if the question can be answered from priors.,LingoQA,other,lingoqa,
lingoqa_eval_000010,reasoning_world_knowledge,Should you maintain your speed at this moment? Why?,data/external/lingoqa/images/val/c6d32ceb5dc0f07b80646e9d629126a2/0.jpg,5,"No, we should slow down because we're approaching a junction.",yes,yes,yes,"No, you should maintain your speed at this moment because the vehicle is stationary.",0.0,0.0,0.0,0.25,0.25,-0.25,blank_image_confound,reasoning_failure,Strengthen prompt against hallucinated visual evidence and inspect answer ambiguity.,LingoQA,reasoning_world_knowledge,lingoqa,
lingoqa_eval_000011,spatial_localization,"What is the current action and its justification? Answer in the form ""action, justification"".",data/external/lingoqa/images/val/2506f1593774d92c0e46c61a8b6fb61e/0.jpg,5,"The car accelerates slightly, follows the car ahead and crosses the zebra crossing, as no pedestrian is about to cross and the car ahead pulls away.",the car is driving on the road.,stop,driving,stop,0.2424,0.0,0.0,0.0,0.0,0.2424,visual_helped,,Keep as positive grounding evidence; inspect visual evidence wording.,LingoQA,spatial_localization,lingoqa,
lingoqa_eval_000012,weather_road_condition,What is the weather like?,data/external/lingoqa/images/val/e2e859bb03ca10ec89d45bd16c3879ce/0.jpg,5,It is raining.,overcast,unknown,overcast,unknown,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,weather_road_condition,lingoqa,
lingoqa_eval_000013,counting,How many cyclists are on the road?,data/external/lingoqa/images/val/7ae30db643ea8d142589ff909fdb0a63/0.jpg,5,2,2,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,visual_helped,,Keep as positive grounding evidence; inspect visual evidence wording.,LingoQA,counting,lingoqa,
lingoqa_eval_000014,object_recognition,"Are there any traffic signals? If yes, what is the color displayed?",data/external/lingoqa/images/val/74f8db8cfd196bdaf188f43e2aba689d/0.jpg,5,"Yes, the traffic light is green.",yes,no,no,no,0.2857,0.0,0.0,0.0,0.0,0.2857,visual_helped,,Keep as positive grounding evidence; inspect visual evidence wording.,LingoQA,object_recognition,lingoqa,
lingoqa_eval_000015,other,Can you spot any traffic sign? What do they indicate?,data/external/lingoqa/images/val/97a2a11eb970cb429cf1cf8457123fab/0.jpg,5,I cannot spot any traffic sign.,yes,no traffic signs detected,yes,no traffic signs detected,0.0,0.2,0.0,0.2,0.2,-0.2,language_prior_or_question_bias,text_only_beats_or_ties_normal,Add visual-evidence requirement and verify if the question can be answered from priors.,LingoQA,other,lingoqa,
lingoqa_eval_000016,reasoning_world_knowledge,What are you focusing on while driving and why?,data/external/lingoqa/images/val/a395b347e02d4f0bf9d69da3ebd52ea4/0.jpg,5,"The traffic lights to make sure they stay green. The pedestrians waiting to cross, to make sure they don't step into the road. The junction, to make sure another car doesn't pull out.",focusing on the road ahead and the traffic signals.,focusing on the road ahead and the surrounding environment to ensure safe driving.,focusing on the road ahead and the traffic around me.,focusing on the road and avoiding distractions,0.1905,0.1739,0.186,0.1,0.186,0.0044,all_settings_failed,reasoning_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,reasoning_world_knowledge,lingoqa,
lingoqa_eval_000017,spatial_localization,What kind of vehicles are in front of you?,data/external/lingoqa/images/val/9a4487ea65f5fc2dd9afccc5bfa5d329/0.jpg,5,Cyclist.,bicycles,no cars,there is a truck in front of you,no vehicles,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,spatial_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,spatial_localization,lingoqa,
lingoqa_eval_000018,counting,How many pedestrians are crossing the road?,data/external/lingoqa/images/val/8e9323f72ccc4b6637f4f27f0657f3d4/0.jpg,5,2,3,0,There are two pedestrians crossing the road.,0,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,counting_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,counting,lingoqa,
lingoqa_eval_000019,object_recognition,"Are there any traffic lights present at this intersection? If so, what is the color displayed?",data/external/lingoqa/images/val/aba3a80f88924404e7aeca071167920d/0.jpg,5,There are traffic lights displaying blinking amber.,yes,no traffic lights detected,yes,no,0.0,0.3636,0.0,0.0,0.3636,-0.3636,language_prior_or_question_bias,object_recognition_failure;text_only_beats_or_ties_normal,Add visual-evidence requirement and verify if the question can be answered from priors.,LingoQA,object_recognition,lingoqa,
lingoqa_eval_000020,other,Is any vehicle stopped at the zebra crossing?,data/external/lingoqa/images/val/dad2e5f536e0c7a91e4929405eeb19da/0.jpg,5,There is no zebra crossing.,no,yes,no,yes,0.3333,0.0,0.3333,0.0,0.3333,0.0,wrong_image_confound,wrong_image_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,other,lingoqa,
lingoqa_eval_000021,reasoning_world_knowledge,Why are you changing lane?,data/external/lingoqa/images/val/55e44f08b5e036f3807756a162e3f66b/0.jpg,5,I am not changing lane. I am overtaking the cyclist within the current lane.,to avoid a car in front of me,I am changing lane because I need to avoid an obstacle or navigate around a curve.,I am changing lane because I need to navigate around the red bus that is blocking my path.,I am changing lane because I need to navigate through traffic.,0.0,0.3333,0.375,0.4,0.4,-0.4,blank_image_confound,reasoning_failure;wrong_image_beats_or_ties_normal;text_only_beats_or_ties_normal,Strengthen prompt against hallucinated visual evidence and inspect answer ambiguity.,LingoQA,reasoning_world_knowledge,lingoqa,
lingoqa_eval_000022,spatial_localization,"What is the current action and its justification? Answer in the form ""action, justification"".",data/external/lingoqa/images/val/5fd375189aa75315f808df106a650068/0.jpg,5,"The car maintains its speed and stays on it lane, because the lane is free of traffic and the left lane is a bus lane.",stop,stop,the car is driving on the road.,stop,0.0,0.0,0.3125,0.0,0.3125,-0.3125,wrong_image_confound,spatial_failure;wrong_image_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,spatial_localization,lingoqa,
